uniqueid,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,staxids
217,Met131.4;size=3;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
218,Met131.4;size=3;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
219,Met132.2;size=1;,gi|77377338|gb|DQ146865.1|,100,250,0,0,1,250,302,551,3.53E-126,462,345695
220,Met132.2;size=1;,gi|77377342|gb|DQ146867.1|,99.6,250,1,0,1,250,302,551,1.64E-124,457,345695
221,Met132.2;size=1;,gi|77377382|gb|DQ146887.1|,97.647,255,6,0,1,255,302,556,4.60E-120,442,345702
222,Met132.3;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
223,Met132.3;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
224,Met132.3;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
225,Met133.1;size=4;,gi|332801940|gb|JF793220.1|,98.403,313,4,1,1,312,345,657,2.62E-152,549,1031123
226,Met133.1;size=4;,gi|157863080|gb|EF555594.1|,99.298,285,1,1,29,312,1,285,9.57E-142,514,460827
227,Met133.1;size=4;,gi|157863082|gb|EF555595.1|,99.291,282,1,1,32,312,1,282,4.45E-140,508,460827
228,Met133.2;size=4;,gi|332801940|gb|JF793220.1|,99.038,312,3,0,1,312,345,656,1.21E-155,560,1031123
229,Met133.2;size=4;,gi|157863082|gb|EF555595.1|,100,281,0,0,32,312,1,281,2.06E-143,520,460827
230,Met133.2;size=4;,gi|157863080|gb|EF555594.1|,99.648,284,1,0,29,312,1,284,2.06E-143,520,460827
231,Met133.3;size=4;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
232,Met133.3;size=4;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
233,Met133.3;size=4;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
234,Met135.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
235,Met135.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
236,Met135.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
237,Met135.2;size=1;,gi|1803131577|gb|MN935430.1|,99.679,312,1,0,1,312,6298,6609,5.60E-159,571,9606
238,Met135.2;size=1;,gi|1802476243|gb|MN706607.1|,99.679,312,1,0,1,312,6296,6607,5.60E-159,571,9606
239,Met135.2;size=1;,gi|1802476229|gb|MN706606.1|,99.679,312,1,0,1,312,6296,6607,5.60E-159,571,9606
240,Met144.1;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
241,Met144.1;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
242,Met144.1;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
243,Met144.2;size=1;,gi|1214141421|gb|KY775582.1|,86.408,309,42,0,5,313,21571,21879,6.20E-89,339,335852
244,Met144.2;size=1;,gi|223047457|gb|FJ663052.1|,85.574,305,44,0,9,313,314,618,2.25E-83,320,994794
245,Met144.2;size=1;,gi|442736106|gb|JX989833.1|,85.113,309,46,0,5,313,310,618,2.91E-82,316,1282988
246,Met144.3;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
247,Met144.3;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
248,Met144.3;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
249,Met145.1;size=1;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
250,Met145.1;size=1;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
251,Met145.1;size=1;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
252,Met147.1;size=1;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
253,Met147.1;size=1;,gi|157863080|gb|EF555594.1|,100,285,0,0,29,313,1,285,1.23E-145,527,460827
254,Met147.1;size=1;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
255,Met147.2;size=1;,gi|222093389|gb|FJ004548.1|,97.865,281,6,0,33,313,1,281,2.09E-133,486,69788
256,Met147.2;size=1;,gi|261277590|gb|FJ590523.1|,100,232,0,0,1,232,317,548,3.58E-116,429,450181
257,Met147.2;size=1;,gi|261277594|gb|FJ590525.1|,98.707,232,3,0,1,232,317,548,3.60E-111,412,29918
258,Met148.1;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
259,Met148.1;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
260,Met148.1;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
261,Met148.2;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
262,Met148.2;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
263,Met148.2;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
264,Met149.1;size=4;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
265,Met149.1;size=4;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
266,Met149.1;size=4;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
267,Met149.2;size=4;,gi|332801940|gb|JF793220.1|,98.403,313,5,0,1,313,345,657,7.32E-153,551,1031123
268,Met149.2;size=4;,gi|157863082|gb|EF555595.1|,99.291,282,2,0,32,313,1,282,1.24E-140,510,460827
269,Met149.2;size=4;,gi|157863080|gb|EF555594.1|,98.947,285,3,0,29,313,1,285,1.24E-140,510,460827
270,Met149.3;size=4;,gi|332801940|gb|JF793220.1|,98.083,313,6,0,1,313,345,657,3.40E-151,545,1031123
271,Met149.3;size=4;,gi|157863082|gb|EF555595.1|,98.936,282,3,0,32,313,1,282,5.78E-139,505,460827
272,Met149.3;size=4;,gi|157863080|gb|EF555594.1|,98.596,285,4,0,29,313,1,285,5.78E-139,505,460827
273,Met14.1;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
274,Met14.1;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
275,Met14.1;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
276,Met14.2;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
277,Met14.2;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
278,Met14.2;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
279,Met150.2;size=1;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
280,Met150.2;size=1;,gi|157863082|gb|EF555595.1|,100,280,0,0,34,313,3,282,7.42E-143,518,460827
281,Met150.2;size=1;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
282,Met151.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
283,Met151.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
284,Met151.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
285,Met151.2;size=1;,gi|1799706669|gb|MN593345.1|,92.652,313,23,0,1,313,6553,6865,7.63E-123,451,1758292
286,Met151.2;size=1;,gi|1803023391|gb|MK637641.1|,88.818,313,35,0,1,313,399,711,7.85E-103,385,64499
287,Met151.2;size=1;,gi|195969304|gb|EU883408.1|,89.286,308,31,2,7,313,270,576,7.85E-103,385,164540
288,Met152.1;size=1;,gi|1714014329|gb|MK758404.1|,91.987,312,24,1,2,312,346,657,2.14E-118,436,1115433
289,Met152.1;size=1;,gi|313183733|gb|HM883905.1|,91.987,312,24,1,2,312,346,657,2.14E-118,436,1115433
290,Met152.1;size=1;,gi|313183197|gb|HM883634.1|,91.987,312,24,1,2,312,346,657,2.14E-118,436,1115433
291,Met152.2;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
292,Met152.2;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
293,Met152.2;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
294,Met153.1;size=5;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
295,Met153.1;size=5;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
296,Met153.1;size=5;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
297,Met153.2;size=5;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
298,Met153.2;size=5;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
299,Met153.2;size=5;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
300,Met153.3;size=5;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
301,Met153.3;size=5;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
302,Met153.3;size=5;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
303,Met153.4;size=5;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
304,Met153.4;size=5;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
305,Met153.4;size=5;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
306,Met153.5;size=2;,gi|9957442|gb|AF178448.1|,92.308,312,24,0,2,313,51,362,1.28E-120,444,5061
307,Met153.5;size=2;,gi|9957440|gb|AF178447.1|,92.308,312,24,0,2,313,51,362,1.28E-120,444,5061
308,Met153.5;size=2;,gi|9957434|gb|AF178444.1|,92.308,312,24,0,2,313,1390,1701,1.28E-120,444,5061
309,Met153.6;size=2;,gi|9957442|gb|AF178448.1|,92.949,312,22,0,2,313,51,362,5.90E-124,455,5061
310,Met153.6;size=2;,gi|9957440|gb|AF178447.1|,92.949,312,22,0,2,313,51,362,5.90E-124,455,5061
311,Met153.6;size=2;,gi|9957434|gb|AF178444.1|,92.949,312,22,0,2,313,1390,1701,5.90E-124,455,5061
312,Met155.1;size=1;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
313,Met155.1;size=1;,gi|157863080|gb|EF555594.1|,100,285,0,0,29,313,1,285,1.23E-145,527,460827
314,Met155.1;size=1;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
315,Met155.2;size=2;,gi|1770705206|gb|MK860667.2|,99.359,312,2,0,1,312,6302,6613,2.60E-157,566,9606
316,Met155.2;size=2;,gi|1770705204|gb|MK860665.2|,99.359,312,2,0,1,312,6300,6611,2.60E-157,566,9606
317,Met155.2;size=2;,gi|1770705195|gb|MK860656.2|,99.359,312,2,0,1,312,6298,6609,2.60E-157,566,9606
318,Met155.3;size=2;,gi|1800330284|gb|MN413240.1|,99.038,312,3,0,1,312,6296,6607,1.21E-155,560,9606
319,Met155.3;size=2;,gi|1770705206|gb|MK860667.2|,99.038,312,3,0,1,312,6302,6613,1.21E-155,560,9606
320,Met155.3;size=2;,gi|1770705204|gb|MK860665.2|,99.038,312,3,0,1,312,6300,6611,1.21E-155,560,9606
321,Met156.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
322,Met156.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
323,Met156.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
324,Met157.1;size=3;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
325,Met157.1;size=3;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
326,Met157.1;size=3;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
327,Met157.2;size=3;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
328,Met157.2;size=3;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
329,Met157.2;size=3;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
330,Met157.3;size=3;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
331,Met157.3;size=3;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
332,Met157.3;size=3;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
333,Met158.1;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
334,Met158.1;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
335,Met158.1;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
336,Met158.2;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
337,Met158.2;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
338,Met158.2;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
339,Met159.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
340,Met159.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
341,Met159.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
342,Met159.2;size=1;,gi|1616390602|gb|CP038810.1|,75.439,342,77,5,13,350,364960,364622,5.87E-35,159,2518177
343,Met15.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
344,Met15.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
345,Met15.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
346,Met15.2;size=1;,gi|554518435|gb|KF479445.1|,89.137,313,34,0,1,313,23018,23330,1.69E-104,390,280754
347,Met15.2;size=1;,gi|987167499|gb|KT201148.1|,88.462,312,36,0,2,313,16350,16661,1.31E-100,377,176275
348,Met15.2;size=1;,gi|908744420|gb|KR733105.1|,88.462,312,36,0,2,313,285,596,1.31E-100,377,176275
349,Met160.1;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
350,Met160.1;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
351,Met160.1;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
352,Met160.2;size=2;,gi|332801940|gb|JF793220.1|,98.083,313,5,1,1,312,345,657,1.22E-150,544,1031123
353,Met160.2;size=2;,gi|157863080|gb|EF555594.1|,98.947,285,2,1,29,312,1,285,4.45E-140,508,460827
354,Met160.2;size=2;,gi|157863082|gb|EF555595.1|,98.936,282,2,1,32,312,1,282,2.07E-138,503,460827
355,Met161.1;size=6;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
356,Met161.1;size=6;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
357,Met161.1;size=6;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
358,Met161.2;size=4;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
359,Met161.2;size=4;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
360,Met161.2;size=4;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
361,Met161.3;size=1;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
362,Met161.3;size=1;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
363,Met161.3;size=1;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
364,Met161.4;size=1;,gi|332801940|gb|JF793220.1|,98.408,314,4,1,1,314,345,657,7.34E-153,551,1031123
365,Met161.4;size=1;,gi|157863082|gb|EF555595.1|,99.293,283,1,1,32,314,1,282,1.25E-140,510,460827
366,Met161.4;size=1;,gi|157863080|gb|EF555594.1|,98.951,286,2,1,29,314,1,285,1.25E-140,510,460827
367,Met161.5;size=6;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
368,Met161.5;size=6;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
369,Met161.5;size=6;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
370,Met161.6;size=6;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
371,Met161.6;size=6;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
372,Met161.6;size=6;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
373,Met162.1;size=4;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
374,Met162.1;size=4;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
375,Met162.1;size=4;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
376,Met162.3;size=4;,gi|332801940|gb|JF793220.1|,98.077,312,6,0,1,312,346,657,1.22E-150,544,1031123
377,Met162.3;size=4;,gi|157863082|gb|EF555595.1|,98.936,282,3,0,31,312,1,282,5.76E-139,505,460827
378,Met162.3;size=4;,gi|157863080|gb|EF555594.1|,98.596,285,4,0,28,312,1,285,5.76E-139,505,460827
379,Met162.4;size=1;,gi|554518435|gb|KF479445.1|,88.782,312,35,0,1,312,23018,23329,2.82E-102,383,280754
380,Met162.4;size=1;,gi|987167499|gb|KT201148.1|,88.103,311,37,0,2,312,16350,16660,2.20E-98,370,176275
381,Met162.4;size=1;,gi|908744420|gb|KR733105.1|,88.103,311,37,0,2,312,285,595,2.20E-98,370,176275
382,Met162.5;size=4;,gi|332801940|gb|JF793220.1|,98.403,313,5,0,1,313,345,657,7.32E-153,551,1031123
383,Met162.5;size=4;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
384,Met162.5;size=4;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
385,Met162.6;size=4;,gi|332801940|gb|JF793220.1|,99.038,312,3,0,2,313,346,657,1.22E-155,560,1031123
386,Met162.6;size=4;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
387,Met162.6;size=4;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
388,Met163.1;size=3;,gi|332801940|gb|JF793220.1|,98.403,313,5,0,1,313,345,657,7.32E-153,551,1031123
389,Met163.1;size=3;,gi|157863082|gb|EF555595.1|,99.291,282,2,0,32,313,1,282,1.24E-140,510,460827
390,Met163.1;size=3;,gi|157863080|gb|EF555594.1|,98.947,285,3,0,29,313,1,285,1.24E-140,510,460827
391,Met163.2;size=3;,gi|332801940|gb|JF793220.1|,98.403,313,5,0,1,313,345,657,7.32E-153,551,1031123
392,Met163.2;size=3;,gi|157863082|gb|EF555595.1|,99.291,282,2,0,32,313,1,282,1.24E-140,510,460827
393,Met163.2;size=3;,gi|157863080|gb|EF555594.1|,98.947,285,3,0,29,313,1,285,1.24E-140,510,460827
394,Met163.3;size=3;,gi|332801940|gb|JF793220.1|,98.403,313,5,0,1,313,345,657,7.32E-153,551,1031123
395,Met163.3;size=3;,gi|157863082|gb|EF555595.1|,99.291,282,2,0,32,313,1,282,1.24E-140,510,460827
396,Met163.3;size=3;,gi|157863080|gb|EF555594.1|,98.947,285,3,0,29,313,1,285,1.24E-140,510,460827
397,Met164.1;size=3;,gi|332801940|gb|JF793220.1|,98.403,313,4,1,1,312,345,657,2.62E-152,549,1031123
398,Met164.1;size=3;,gi|157863080|gb|EF555594.1|,99.298,285,1,1,29,312,1,285,9.57E-142,514,460827
399,Met164.1;size=3;,gi|157863082|gb|EF555595.1|,99.291,282,1,1,32,312,1,282,4.45E-140,508,460827
400,Met164.2;size=3;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
401,Met164.2;size=3;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
402,Met164.2;size=3;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
403,Met164.3;size=1;,gi|1803023391|gb|MK637641.1|,86.218,312,43,0,1,312,400,711,6.18E-89,339,64499
404,Met164.3;size=1;,gi|675324091|gb|CP009079.1|,84.314,306,48,0,1,306,3468886,3469191,2.92E-77,300,1202531
405,Met164.3;size=1;,gi|589583198|gb|KC888822.1|,83.923,311,50,0,2,312,578,888,1.05E-76,298,438356
406,Met164.4;size=3;,gi|332801940|gb|JF793220.1|,99.038,312,3,0,1,312,345,656,1.22E-155,560,1031123
407,Met164.4;size=3;,gi|157863082|gb|EF555595.1|,100,281,0,0,32,312,1,281,2.06E-143,520,460827
408,Met164.4;size=3;,gi|157863080|gb|EF555594.1|,99.648,284,1,0,29,312,1,284,2.06E-143,520,460827
409,Met165.1;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
410,Met165.1;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
411,Met165.1;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
412,Met165.2;size=2;,gi|332801940|gb|JF793220.1|,98.718,312,4,0,1,312,345,656,5.66E-154,555,1031123
413,Met165.2;size=2;,gi|157863082|gb|EF555595.1|,100,281,0,0,32,312,1,281,2.06E-143,520,460827
414,Met165.2;size=2;,gi|157863080|gb|EF555594.1|,99.648,284,1,0,29,312,1,284,2.06E-143,520,460827
415,Met166.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
416,Met166.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
417,Met166.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
418,Met167.2;size=1;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
419,Met167.2;size=1;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
420,Met167.2;size=1;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
421,Met167.3;size=1;,gi|1803131577|gb|MN935430.1|,99.679,312,1,0,1,312,6298,6609,5.60E-159,571,9606
422,Met167.3;size=1;,gi|1802476243|gb|MN706607.1|,99.679,312,1,0,1,312,6296,6607,5.60E-159,571,9606
423,Met167.3;size=1;,gi|1802476229|gb|MN706606.1|,99.679,312,1,0,1,312,6296,6607,5.60E-159,571,9606
424,Met168.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
425,Met168.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
426,Met168.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
427,Met169.1;size=4;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
428,Met169.1;size=4;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
429,Met169.1;size=4;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
430,Met169.3;size=4;,gi|332801940|gb|JF793220.1|,99.038,312,3,0,2,313,346,657,1.22E-155,560,1031123
431,Met169.3;size=4;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
432,Met169.3;size=4;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
433,Met169.4;size=4;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
434,Met169.4;size=4;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
435,Met169.4;size=4;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
436,Met16.1;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
437,Met16.1;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
438,Met16.1;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
439,Met16.2;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
440,Met16.2;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
441,Met16.2;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
442,Met170.1;size=4;,gi|1101017180|gb|KU494249.1|,100,313,0,0,1,313,338,650,3.36E-161,579,1915159
443,Met170.1;size=4;,gi|1101017176|gb|KU494247.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1915159
